Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Nikita Kucherov,20242025,TBL,L,R,78,37,84,121,22,45,1.55,29,75,8,46,0,0,1,9,265,14,21:11,50
Nathan MacKinnon,20242025,COL,R,C,79,32,84,116,25,41,1.47,23,78,9,38,0,0,1,5,320,10,22:47,49.9
Leon Draisaitl,20242025,EDM,L,C,71,52,54,106,32,34,1.49,36,73,16,33,0,0,6,11,240,21.7,21:31,54.4
David Pastrnak,20242025,BOS,R,R,82,43,63,106,0,42,1.29,34,83,9,23,0,0,3,4,319,13.5,20:11,37.5
Mitch Marner,20242025,TOR,R,R,81,27,75,102,18,14,1.26,20,67,6,33,1,2,3,7,173,15.6,21:19,29.4
Connor McDavid,20242025,EDM,L,C,67,26,74,100,20,37,1.49,17,69,9,31,0,0,0,3,196,13.3,22:02,47.7
Kyle Connor,20242025,WPG,L,L,82,41,56,97,17,25,1.18,30,67,9,28,2,2,2,8,267,15.4,20:24,12.5
Jack Eichel,20242025,VGK,R,C,77,28,66,94,32,8,1.22,22,58,5,34,1,2,0,3,233,12,20:32,45.6
Cale Makar,20242025,COL,R,D,80,30,62,92,28,14,1.15,16,54,12,35,2,3,1,4,246,12.2,25:43,--
Sidney Crosby,20242025,PIT,L,C,80,33,58,91,-20,31,1.14,21,64,12,27,0,0,4,10,227,14.5,20:22,57
Brandon Hagel,20242025,TBL,L,L,82,35,55,90,33,58,1.1,32,72,0,11,3,7,0,4,228,15.4,20:45,34.8
Clayton Keller,20242025,UTA,L,R,81,30,60,90,-12,28,1.11,20,53,10,37,0,0,1,5,218,13.8,19:07,33.3
Artemi Panarin,20242025,NYR,R,L,80,37,52,89,-9,16,1.11,29,63,8,26,0,0,0,3,237,15.6,19:41,0
Nick Suzuki,20242025,MTL,R,C,82,30,59,89,19,8,1.09,24,60,4,27,2,2,5,9,172,17.4,20:04,51.6
Mikko Rantanen,20242025,"COL,CAR,DAL",L,R,82,32,56,88,13,60,1.07,21,62,11,26,0,0,0,6,212,15.1,21:15,52.9
Jesper Bratt,20242025,NJD,L,L,81,21,67,88,5,18,1.09,15,50,4,34,2,4,0,2,180,11.7,18:57,0
Mark Scheifele,20242025,WPG,R,C,82,39,48,87,12,61,1.06,28,62,11,25,0,0,3,11,181,21.6,20:26,49.5
William Nylander,20242025,TOR,R,R,82,45,39,84,10,26,1.02,33,54,12,30,0,0,2,8,253,17.8,19:31,49.7
Martin Necas,20242025,"CAR,COL",R,C,79,27,56,83,5,16,1.05,15,46,12,37,0,0,0,8,194,13.9,19:00,37.8
Brayden Point,20242025,TBL,R,C,77,42,40,82,17,7,1.06,26,51,16,31,0,0,2,7,189,22.2,19:29,48.5
Matt Duchene,20242025,DAL,L,C,82,30,52,82,13,12,1,22,55,8,27,0,0,1,6,152,19.7,17:09,52.4
Dylan Strome,20242025,WSH,L,C,82,29,53,82,2,34,1,20,48,9,34,0,0,0,3,149,19.5,17:23,53.7
Zach Werenski,20242025,CBJ,L,D,81,23,59,82,12,31,1.01,17,54,5,25,1,3,2,5,298,7.7,26:45,--
Sam Reinhart,20242025,FLA,R,C,79,39,42,81,6,27,1.03,21,45,13,30,5,6,0,4,213,18.3,20:30,41.3
Robert Thomas,20242025,STL,R,C,70,21,60,81,20,20,1.16,17,61,3,19,1,1,1,5,145,14.5,19:57,54.8
Jake Guentzel,20242025,TBL,L,C,80,41,39,80,18,24,1,23,51,17,28,1,1,0,5,217,18.9,20:00,46.1
Jason Robertson,20242025,DAL,L,L,82,35,45,80,10,18,0.98,26,61,9,19,0,0,1,6,211,16.6,17:48,36.8
Lucas Raymond,20242025,DET,R,L,82,27,53,80,-15,18,0.98,18,42,8,37,1,1,1,5,192,14.1,18:47,12.5
Tim Stützle,20242025,OTT,L,C,82,24,55,79,0,46,0.96,19,46,5,33,0,0,2,2,162,14.8,19:49,47.8
Auston Matthews,20242025,TOR,L,C,67,33,45,78,11,20,1.16,21,51,10,25,2,2,1,2,261,12.6,20:28,56.8
Filip Forsberg,20242025,NSH,R,L,82,31,45,76,-27,44,0.93,21,50,10,26,0,0,0,3,281,11,18:38,23.5
Travis Konecny,20242025,PHI,R,R,82,24,52,76,-17,53,0.93,15,56,8,17,1,3,0,3,188,12.8,20:36,39
Quinn Hughes,20242025,VAN,L,D,68,16,60,76,2,29,1.12,12,47,4,29,0,0,0,3,192,8.3,25:44,--
John Tavares,20242025,TOR,L,C,75,38,36,74,10,46,0.99,26,54,12,20,0,0,1,8,200,19,18:14,58.3
Kirill Marchenko,20242025,CBJ,R,R,79,31,43,74,29,20,0.94,29,55,2,19,0,0,1,2,207,15,18:35,31.7
Sebastian Aho,20242025,CAR,L,C,79,29,45,74,7,46,0.94,21,44,5,23,3,7,5,9,207,14,20:06,55.3
